Date,Alpha_t,Covered
2024-11-24 00:00:00+05:30,0.1005,True
2024-12-01 00:00:00+05:30,0.101,True
2024-12-08 00:00:00+05:30,0.1015,True
2024-12-15 00:00:00+05:30,0.10200000000000001,True
2024-12-22 00:00:00+05:30,0.10250000000000001,True
2024-12-29 00:00:00+05:30,0.10300000000000001,True
2025-01-05 00:00:00+05:30,0.10350000000000001,True
2025-01-12 00:00:00+05:30,0.10400000000000001,True
2025-01-19 00:00:00+05:30,0.0995,False
2025-01-26 00:00:00+05:30,0.1,True
2025-02-02 00:00:00+05:30,0.0955,False
2025-02-09 00:00:00+05:30,0.096,True
2025-02-16 00:00:00+05:30,0.0965,True
2025-02-23 00:00:00+05:30,0.097,True
2025-03-02 00:00:00+05:30,0.0975,True
2025-03-09 00:00:00+05:30,0.098,True
2025-03-16 00:00:00+05:30,0.0985,True
2025-03-23 00:00:00+05:30,0.099,True
2025-03-30 00:00:00+05:30,0.0995,True
2025-04-06 00:00:00+05:30,0.1,True
2025-04-13 00:00:00+05:30,0.1005,True
2025-04-20 00:00:00+05:30,0.101,True
2025-04-27 00:00:00+05:30,0.1015,True
2025-05-04 00:00:00+05:30,0.10200000000000001,True
2025-05-11 00:00:00+05:30,0.0975,False
2025-05-18 00:00:00+05:30,0.098,True
2025-05-25 00:00:00+05:30,0.0985,True
2025-06-01 00:00:00+05:30,0.099,True
2025-06-08 00:00:00+05:30,0.0995,True
2025-06-15 00:00:00+05:30,0.1,True
2025-06-22 00:00:00+05:30,0.1005,True
2025-06-29 00:00:00+05:30,0.101,True
2025-07-06 00:00:00+05:30,0.1015,True
2025-07-13 00:00:00+05:30,0.10200000000000001,True
2025-07-20 00:00:00+05:30,0.10250000000000001,True
2025-07-27 00:00:00+05:30,0.10300000000000001,True
2025-08-03 00:00:00+05:30,0.10350000000000001,True
2025-08-10 00:00:00+05:30,0.10400000000000001,True
2025-08-17 00:00:00+05:30,0.10450000000000001,True
2025-08-24 00:00:00+05:30,0.10500000000000001,True
2025-08-31 00:00:00+05:30,0.10550000000000001,True
2025-09-07 00:00:00+05:30,0.101,False
2025-09-14 00:00:00+05:30,0.1015,True
2025-09-21 00:00:00+05:30,0.10200000000000001,True
2025-09-28 00:00:00+05:30,0.10250000000000001,True
2025-10-05 00:00:00+05:30,0.098,False
2025-10-12 00:00:00+05:30,0.0985,True
2025-10-19 00:00:00+05:30,0.099,True
2025-10-26 00:00:00+05:30,0.0995,True
2025-11-02 00:00:00+05:30,0.095,False
2025-11-09 00:00:00+05:30,0.0955,True
2025-11-16 00:00:00+05:30,0.096,True
2025-11-23 00:00:00+05:30,0.0915,False
2025-11-30 00:00:00+05:30,0.092,True
2025-12-07 00:00:00+05:30,0.0875,False
2025-12-14 00:00:00+05:30,0.08299999999999999,False
2025-12-21 00:00:00+05:30,0.08349999999999999,True
2025-12-28 00:00:00+05:30,0.08399999999999999,True
